All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly         # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50     NG50    N75     NG75    L50  LG50  L75   LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  # genomic features  Largest alignment  Total aligned length  NA50    NGA50   NA75    NGA75  LA50  LGA50  LA75  LGA75
10_C21_contigs   191                  55                      40                      36                       33                       27                       6615613                 6587902                    6553176                    6524727                     6486856                     6262929                     62         566479          6592134       6498072           65.85   66.35             308908  308908  238778  238778  8    8     14    14    66               21                      5489977                      39                     0                         0                         0                         5 + 32 part          777982            89.354               1.001              0.00               543.22                    10.90                 5586 + 85 part      306592             5812156               92785   92785   50455   51082  19    19     44    43   
10_C92_contigs   201                  64                      51                      47                       41                       28                       7023102                 6986354                    6960867                    6928174                     6815516                     6345266                     83         925598          6998288       6498072           65.77   66.35             300555  300555  136220  177734  7    7     16    14    60               25                      5271096                      65                     0                         0                         2                         14 + 35 part         912645            92.932               1.008              0.00               600.20                    11.23                 5783 + 102 part     339298             6080283               102414  116935  41894   50620  19    16     45    37   
11_C145_contigs  167                  50                      39                      37                       33                       31                       7018298                 6991951                    6965487                    6947735                     6866674                     6771732                     61         662519          6999496       6498072           65.76   66.35             324041  324141  145832  165444  8    7     16    14    73               22                      5507658                      71                     0                         0                         2                         7 + 28 part          1013120           92.002               1.001              0.00               975.14                    19.22                 5732 + 108 part     317067             5983388               88807   92014   40418   51203  22    20     52    44   
11_C22_contigs   189                  75                      58                      51                       48                       39                       6570597                 6547758                    6506257                    6460798                     6420160                     6079105                     81         443126          6551668       6498072           65.92   66.35             238119  238119  90788   90788   11   11    22    22    63               27                      4022171                      44                     0                         0                         0                         7 + 40 part          757071            88.957               1.002              0.00               556.79                    12.21                 5533 + 110 part     306592             5792121               84588   90788   40008   41343  22    21     49    48   
12_C147_contigs  139                  39                      28                      25                       22                       20                       6934601                 6918792                    6893676                    6874155                     6814474                     6741780                     40         1237530         6919398       6498072           66.02   66.35             498464  592559  270324  278531  5    4     9     8     71               16                      6206578                      56                     0                         0                         0                         8 + 18 part          834086            93.528               1.001              0.00               546.20                    11.48                 5817 + 97 part      302991             6084325               108905  118862  52775   61171  19    18     42    37   
12_C31_contigs   422                  285                     196                     157                      89                       40                       6912551                 6870943                    6651164                    6373737                     5253702                     3446471                     313        231266          6891765       6498072           66.00   66.35             50541   52575   27994   31788   40   37    86    77    54               35                      2306034                      43                     0                         0                         5                         15 + 52 part         873902            92.480               1.001              0.00               544.10                    11.32                 5516 + 333 part     158923             6012102               32078   33431   11779   14890  67    61     156   134  
13_C149_contigs  85                   33                      29                      28                       26                       22                       6788173                 6776197                    6767007                    6761466                     6731619                     6570150                     38         1075930         6779657       6498072           66.25   66.35             445995  470634  226989  260121  6    5     11    10    64               19                      5706164                      50                     0                         0                         0                         4 + 22 part          659958            94.086               1.001              0.00               579.51                    12.63                 5866 + 82 part      403398             6115364               125155  126219  64361   68514  17    16     37    34   
13_C32_contigs   276                  133                     104                     87                       69                       49                       6939676                 6908315                    6838751                    6710253                     6403868                     5702134                     143        343956          6915953       6498072           66.03   66.35             118290  125096  59101   71149   19   17    40    35    58               33                      3626865                      43                     0                         0                         3                         13 + 46 part         876461            92.861               1.001              0.00               542.34                    11.37                 5674 + 181 part     207085             6035019               57544   60575   23830   30407  34    31     80    69   
14_C33_contigs   148                  51                      39                      36                       34                       26                       6947252                 6925996                    6907001                    6886820                     6845838                     6557182                     58         937011          6931204       6498072           66.04   66.35             268594  270524  202087  209260  7    6     15    13    68               23                      5946453                      50                     0                         0                         0                         13 + 29 part         877821            93.022               1.001              0.00               544.58                    11.12                 5746 + 103 part     277211             6047035               98210   102916  49232   58336  21    19     45    39   
14_C94_contigs   83                   26                      19                      19                       19                       17                       6897813                 6884825                    6864912                    6864912                     6864912                     6796597                     30         963065          6888214       6498072           66.05   66.35             656189  797594  593044  593044  5    4     7     7     69               13                      6132038                      52                     0                         0                         0                         2 + 16 part          803614            93.535               1.001              0.00               540.00                    11.12                 5823 + 97 part      362093             6082079               124947  136717  53307   68504  16    15     37    32   
15_C44_contigs   207                  167                     152                     130                      94                       50                       6545360                 6535058                    6492568                    6317723                     5693894                     4101480                     171        161820          6538146       6498072           66.22   66.35             62283   63006   38376   38376   36   35    69    69    45               33                      1787182                      40                     0                         0                         0                         22 + 57 part         604926            91.084               1.002              0.00               570.02                    12.16                 5603 + 153 part     136841             5919918               48705   48705   24981   25242  42    42     88    87   
15_C96_contigs   188                  55                      43                      38                       31                       31                       6976566                 6946428                    6918521                    6876666                     6753189                     6753189                     67         554730          6953930       6498072           65.67   66.35             271735  338478  155644  165456  9    8     17    15    70               22                      5519461                      67                     0                         0                         0                         17 + 32 part         1106762           89.876               1.001              0.00               974.14                    19.16                 5623 + 104 part     317067             5844576               92014   94275   34002   49494  22    20     52    44   
16_C100_contigs  121                  46                      33                      28                       23                       19                       6503278                 6486943                    6460863                    6428924                     6351358                     6206440                     52         672297          6491476       6498072           65.87   66.35             413520  413520  349871  349871  7    7     11    11    63               15                      5818493                      58                     0                         0                         0                         25 + 15 part         731849            88.592               1.000              0.00               545.27                    10.89                 5586 + 76 part      411948             5758998               128103  128103  52877   52877  16    16     35    35   
16_C45_contigs   253                  172                     152                     130                      94                       53                       6548697                 6529597                    6473752                    6308075                     5687480                     4181699                     179        128092          6534282       6498072           66.22   66.35             63080   63080   39219   39360   37   37    70    69    46               36                      1744026                      42                     0                         0                         0                         27 + 59 part         603659            91.024               1.003              0.00               571.37                    12.12                 5602 + 148 part     127530             5917195               49667   49667   23500   23740  43    43     88    87   
17_C102_contigs  122                  30                      25                      25                       25                       23                       6323778                 6306868                    6298694                    6298694                     6298694                     6227882                     33         582080          6308861       6498072           66.52   66.35             389311  389311  244192  232102  7    7     12    13    56               16                      5407616                      45                     0                         0                         0                         1 + 18 part          224527            93.517               1.001              0.00               570.85                    12.10                 5816 + 66 part      341358             6079442               130878  130878  74903   70586  15    15     30    32   
17_C64_contigs   117                  27                      23                      23                       23                       20                       6358091                 6336672                    6329034                    6329034                     6329034                     6228879                     35         745093          6342590       6498072           66.36   66.35             427129  427129  303113  303113  6    6     11    11    52               15                      5244565                      51                     0                         0                         1                         1 + 19 part          378867            91.740               1.000              0.00               545.98                    10.99                 5702 + 88 part      370587             5951406               165018  165018  74835   68550  13    13     26    28   
18_C119_contigs  163                  63                      52                      48                       42                       34                       6730098                 6707440                    6677786                    6643490                     6530764                     6220829                     74         554055          6715178       6498072           65.84   66.35             309268  309268  121146  124994  9    9     21    19    86               30                      5694643                      71                     0                         0                         1                         10 + 34 part         934457            88.753               1.002              0.00               992.35                    18.74                 5505 + 127 part     272772             5777505               68260   68320   26775   32027  27    26     63    58   
18_C65_contigs   110                  40                      33                      33                       31                       27                       6405806                 6390519                    6378003                    6378003                     6349679                     6232483                     44         738311          6393305       6498072           66.34   66.35             317413  317413  177872  177872  8    8     14    14    55               20                      5025605                      54                     0                         0                         0                         0 + 22 part          425553            91.782               1.001              0.00               546.35                    11.12                 5690 + 102 part     383298             5966870               121815  117600  66089   59388  16    17     34    35   
19_C120_contigs  156                  51                      42                      40                       37                       27                       6706257                 6685969                    6665648                    6655034                     6616431                     6217403                     54         500067          6688188       6498072           66.20   66.35             284647  313143  179777  179777  9    8     15    15    60               24                      5371138                      53                     0                         0                         0                         7 + 30 part          596720            93.663               1.001              0.00               536.21                    10.29                 5812 + 107 part     384708             6088019               100381  107076  54701   57994  19    18     40    38   
19_C67_contigs   92                   28                      23                      22                       21                       19                       6406386                 6392296                    6383089                    6377967                     6365722                     6306527                     32         1246711         6395150       6498072           66.34   66.35             425607  425607  260517  260517  5    5     10    10    57               15                      5781068                      52                     0                         0                         0                         0 + 17 part          427329            91.778               1.001              0.00               546.63                    11.13                 5698 + 91 part      411527             5955548               152984  152984  70734   70373  14    14     29    30   
1_C3_contigs     432                  322                     211                     159                      78                       29                       6460576                 6419932                    6141401                    5755727                     4424732                     2660180                     352        280169          6442860       6498072           66.28   66.35             41205   40616   20244   20110   42   43    97    99    53               29                      2019632                      50                     0                         0                         1                         2 + 32 part          337103            93.835               1.001              0.00               540.85                    10.81                 5579 + 367 part     131764             6102936               31818   31631   14493   13717  62    63     140   143  
20_C123_contigs  165                  43                      33                      31                       30                       28                       6708455                 6683347                    6660116                    6647229                     6630476                     6556528                     47         499653          6686056       6498072           66.30   66.35             345231  352269  200087  250701  9    8     15    14    57               21                      5838995                      65                     0                         0                         0                         8 + 27 part          637406            92.978               1.001              0.00               552.94                    12.28                 5795 + 88 part      303184             6047647               107825  110297  64055   68338  19    18     39    37   
20_C68_contigs   88                   19                      15                      15                       15                       13                       6406242                 6389701                    6382063                    6382063                     6382063                     6323885                     25         972347          6393723       6498072           66.34   66.35             744071  744071  431420  431420  4    4     7     7     55               10                      5426230                      54                     0                         0                         0                         0 + 13 part          425887            91.794               1.001              0.00               546.08                    11.03                 5706 + 88 part      391170             5955721               169485  169485  98451   94733  12    12     24    25   
21_C124_contigs  576                  316                     174                     135                      83                       49                       7989970                 7912189                    7616911                    7352370                     6492368                     5219604                     358        260343          7945175       6498072           65.45   66.35             79414   92982   36616   58578   30   21    67    43    50               38                      2980513                      67                     0                         0                         27                        50 + 136 part        1752639           94.318               1.010              0.00               1089.25                   21.50                 5772 + 177 part     260342             6183733               47523   63402   3672    26962  43    30     151   66   
21_C78_contigs   131                  33                      24                      23                       21                       18                       6269681                 6248541                    6230725                    6224907                     6199341                     6107435                     38         891087          6252067       6498072           66.54   66.35             484191  480575  395888  309062  5    6     9     10    49               13                      5074143                      48                     0                         0                         0                         7 + 18 part          334842            91.005               1.001              0.00               528.46                    10.32                 5674 + 76 part      425093             5915448               157464  156284  68991   59255  13    14     28    31   
22_C128_contigs  133                  31                      22                      18                       15                       14                       6761007                 6740072                    6719082                    6695240                     6652397                     6604182                     37         1016458         6744343       6498072           66.15   66.35             765097  765097  409706  512359  4    4     7     6     66               13                      6527879                      69                     0                         0                         0                         14 + 15 part         715010            92.706               1.001              0.00               552.51                    11.35                 5797 + 94 part      421912             6027500               121811  127510  63080   72175  16    15     36    33   
22_C79_contigs   90                   35                      29                      27                       23                       21                       6774999                 6759218                    6748491                    6733364                     6673118                     6605178                     43         965440          6765554       6498072           66.14   66.35             582018  582018  274504  287123  5    5     10    9     67               17                      5988355                      65                     0                         0                         2                         3 + 25 part          773847            91.957               1.003              0.00               970.65                    21.17                 5683 + 107 part     286418             5986082               95370   103754  49441   53495  21    19     44    40   
23_C131_contigs  137                  37                      30                      28                       27                       26                       6914756                 6892249                    6875316                    6857564                     6841830                     6793630                     45         755207          6898091       6498072           66.01   66.35             432982  432982  183059  217035  6    6     12    11    77               22                      6308214                      72                     0                         0                         1                         0 + 23 part          896222            92.247               1.001              0.00               976.23                    19.12                 5738 + 110 part     317066             5999567               92014   102431  48385   52953  23    21     50    44   
23_C80_contigs   110                  45                      37                      35                       31                       28                       6773096                 6757339                    6740516                    6725388                     6665143                     6558833                     50         716920          6761361       6498072           66.14   66.35             383219  383219  182261  195433  7    7     14    13    62               21                      5396795                      67                     0                         0                         3                         2 + 30 part          773307            91.937               1.002              0.00               969.95                    21.36                 5680 + 100 part     286422             5982551               93032   95369   49441   53495  23    21     46    43   
24_C133_contigs  182                  42                      34                      32                       30                       27                       6683465                 6651199                    6632210                    6614458                     6586361                     6468829                     55         680603          6660699       6498072           66.15   66.35             324043  342118  165450  169855  8    7     15    14    72               25                      5958548                      67                     0                         0                         2                         2 + 27 part          659560            92.243               1.001              0.00               975.15                    19.90                 5743 + 110 part     317068             5998459               102586  104525  50730   52077  20    19     44    42   
24_C81_contigs   203                  117                     94                      86                       70                       49                       6770147                 6747587                    6686859                    6631777                     6365116                     5547409                     126        317972          6754549       6498072           66.13   66.35             102905  111905  68762   69873   20   19    41    39    60               38                      3927841                      67                     0                         0                         3                         2 + 46 part          772768            91.902               1.002              0.00               968.34                    21.45                 5611 + 171 part     217829             5979036               59000   63817   28974   32815  37    35     76    70   
25_C134_contigs  184                  42                      33                      31                       30                       28                       6686083                 6657098                    6636200                    6619492                     6603758                     6528488                     52         626521          6663658       6498072           66.15   66.35             306922  306922  217036  237326  8    8     15    14    75               25                      5949240                      70                     0                         0                         0                         1 + 26 part          660479            92.272               1.001              0.00               974.11                    19.71                 5743 + 106 part     317068             6001172               92789   102433  50730   53551  21    20     46    43   
25_C83_contigs   157                  86                      75                      71                       59                       48                       6807251                 6787654                    6763308                    6731253                     6548349                     6141108                     96         466906          6795313       6498072           66.11   66.35             134023  134218  81147   82926   15   14    32    30    60               34                      4420639                      65                     0                         0                         4                         7 + 41 part          811505            91.842               1.003              0.00               971.40                    21.55                 5634 + 143 part     230750             5980559               68124   69514   33723   36948  30    28     66    59   
26_A1_contigs    96                   33                      28                      28                       26                       24                       7083202                 7070387                    7058872                    7058872                     7020600                     6960173                     37         1080893         7072840       6498072           65.96   66.35             307802  420455  221437  270770  6    5     13    11    62               18                      5848753                      50                     0                         0                         1                         4 + 22 part          983286            93.559               1.002              0.00               537.05                    10.63                 5799 + 82 part      486217             6076265               115912  126419  49732   70371  17    15     39    32   
26_C84_contigs   125                  48                      40                      38                       34                       30                       6773955                 6753347                    6739217                    6724089                     6661370                     6523724                     59         806665          6761072       6498072           66.14   66.35             288927  288927  166127  176285  8    8     16    15    60               23                      5173703                      67                     0                         0                         3                         2 + 30 part          773614            91.947               1.002              0.00               969.91                    21.42                 5681 + 103 part     286422             5984804               93032   96634   51044   53439  22    20     45    42   
27_A2_contigs    84                   29                      23                      23                       22                       19                       6555035                 6541468                    6522809                    6522809                     6506736                     6384599                     35         837290          6545290       6498072           66.22   66.35             541853  541853  252488  271663  5    5     10    9     82               16                      6015465                      63                     0                         0                         0                         5 + 16 part          492830            93.014               1.001              0.00               959.73                    18.45                 5791 + 107 part     341201             6051414               94425   100301  53423   53631  20    19     42    41   
27_C85_contigs   142                  63                      48                      40                       34                       27                       6680379                 6661830                    6622610                    6563706                     6475092                     6196001                     69         781783          6666341       6498072           66.05   66.35             245114  309078  155470  170722  8    7     16    15    57               25                      5139915                      38                     0                         0                         2                         10 + 31 part         771376            90.657               1.001              0.00               533.80                    11.76                 5610 + 92 part      365763             5892965               106748  108875  46720   49236  20    19     44    41   
28_A12_contigs   233                  65                      45                      38                       33                       28                       6708964                 6672264                    6614990                    6565262                     6487621                     6308806                     77         623328          6681150       6498072           65.91   66.35             365724  365724  129704  141445  7    7     14    13    53               21                      5640684                      43                     0                         0                         2                         28 + 33 part         906362            88.746               1.001              0.00               521.73                    9.95                  5542 + 90 part      370322             5773055               98450   103714  44565   52476  20    19     44    41   
28_C87_contigs   192                  90                      74                      64                       55                       42                       6674276                 6649914                    6611544                    6543181                     6409782                     5928123                     101        484984          6657477       6498072           66.06   66.35             139793  139793  101050  101955  15   15    29    28    55               33                      4758183                      38                     0                         0                         1                         6 + 44 part          770226            90.507               1.001              0.00               531.88                    11.24                 5579 + 102 part     247842             5882876               72569   84461   36200   39252  25    24     57    54   
29_A19_contigs   382                  143                     103                     85                       65                       41                       6685641                 6625830                    6520785                    6393713                     6029366                     5176045                     165        476297          6640015       6498072           65.83   66.35             114484  123545  54788   61268   17   16    38    36    35               24                      2796882                      42                     0                         0                         3                         41 + 55 part         812045            89.174               1.006              0.00               601.91                    12.94                 5578 + 103 part     382864             5816468               81414   81414   31162   36040  22    22     54    51   
29_C95_contigs   261                  70                      57                      51                       46                       41                       7133721                 7093942                    7064183                    7020299                     6920651                     6753012                     85         443094          7103480       6498072           65.73   66.35             215128  238188  117595  139305  11   10    23    20    68               25                      5170236                      71                     0                         0                         1                         18 + 38 part         1118635           91.969               1.001              0.00               973.16                    19.24                 5722 + 113 part     317067             5983255               70596   87856   30479   49494  26    22     60    48   
2_C155_contigs   69                   19                      17                      16                       16                       16                       6203427                 6193939                    6190580                    6185038                     6185038                     6185038                     21         890846          6195273       6498072           66.42   66.35             509832  509832  393757  327020  5    5     8     9     51               12                      5092202                      41                     0                         0                         0                         0 + 14 part          284987            90.902               1.001              0.00               540.13                    10.68                 5665 + 63 part      409699             5906795               164488  160610  73595   68919  12    13     25    28   
2_C4_contigs     249                  122                     96                      81                       53                       36                       6130828                 6100553                    6033007                    5916908                     5422732                     4793453                     134        385910          6108841       6498072           66.23   66.35             113295  102567  59490   47992   14   16    33    38    55               25                      3365893                      47                     0                         0                         1                         1 + 24 part          331318            88.775               1.002              0.00               539.83                    11.03                 5505 + 145 part     255428             5774611               67424   63816   29665   23723  28    31     62    73   
