All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     10_C21_contigs  10_C92_contigs   11_C145_contigs  11_C22_contigs   12_C147_contigs  12_C31_contigs   13_C149_contigs  13_C32_contigs   14_C33_contigs   14_C94_contigs  15_C44_contigs   15_C96_contigs   16_C100_contigs  16_C45_contigs   17_C102_contigs  17_C64_contigs  18_C119_contigs  18_C65_contigs   19_C120_contigs  19_C67_contigs  1_C3_contigs     20_C123_contigs  20_C68_contigs  21_C124_contigs  21_C78_contigs  22_C128_contigs  22_C79_contigs   23_C131_contigs  23_C80_contigs   24_C133_contigs  24_C81_contigs   25_C134_contigs  25_C83_contigs   26_A1_contigs   26_C84_contigs   27_A2_contigs    27_C85_contigs  28_A12_contigs  28_C87_contigs   29_A19_contigs   29_C95_contigs   2_C155_contigs  2_C4_contigs     30_A36_contigs  30_C97_contigs   31_C55_contigs  31_C98_contigs   32_C56_contigs  32_C99_contigs   33_C101_contigs  33_C57_contigs  34_C103_contigs  34_C58_contigs  35_C106_contigs  35_C59_contigs  36_C108_contigs  36_C60_contigs  37_C115_contigs  37_C61_contigs   38_B3_contigs   38_C116_contigs  39_B16_contigs  39_C118_contigs  3_C76_contigs   3_C8_contigs     40_B34_contigs  40_C125_contigs  41_B37_contigs  41_C126_contigs   42_B62_contigs  42_C127_contigs  43_B113_contigs  43_C129_contigs  44_B114_contigs  44_C143_contigs   45_B191_contigs  45_C144_contigs  46_B199_contigs  46_C146_contigs  47_C148_contigs  47_C63_contigs  48_A3_contigs    48_C66_contigs  49_A4_contigs    49_C69_contigs  4_C10_contigs     4_C77_contigs   50_A5_contigs    50_C23_contigs  51_A46_contigs  51_C25_contigs   52_A48_contigs   52_C29_contigs   53_A52_contigs   53_C30_contigs   54_A53_contigs  54_C36_contigs   55_A54_contigs   55_C42_contigs  56_A55_contigs  56_C43_contigs   57_A56_contigs  57_C49_contigs   58_A58_contigs  58_C51_contigs  59_A60_contigs   59_C54_contigs   5_C12_contigs    5_C82_contigs    60_A70_contigs   60_C150_contigs  61_A71_contigs   61_C151_contigs  62_A72_contigs  62_C153_contigs  63_A73_contigs  63_C71_contigs  64_A75_contigs  64_C73_contigs  65_A76_contigs  65_C74_contigs  66_A77_contigs   66_C2_contigs    67_A78_contigs   67_C5_contigs   68_A80_contigs   68_C6_contigs   69_A81_contigs   69_C7_contigs   6_C13_contigs    6_C86_contigs   70_A82_contigs  70_C9_contigs    71_A85_contigs   71_C11_contigs  72_A86_contigs   72_C16_contigs  73_A90_contigs   73_C18_contigs   74_A91_contigs   74_C20_contigs  75_A92_contigs   75_C135_contigs  76_A95_contigs   76_C137_contigs  77_A97_contigs   77_C139_contigs  78_A100_contigs  78_C141_contigs  79_A106_contigs  79_C142_contigs  7_C14_contigs    7_C88_contigs   80_A107_contigs   80_C104_contigs  81_A119_contigs  81_C105_contigs  82_A122_contigs  82_C107_contigs  83_A123_contigs  83_C109_contigs  84_A126_contigs  84_C110_contigs  85_A130_contigs  85_C111_contigs  86_A134_contigs  86_C112_contigs  87_A137_contigs  87_C114_contigs  88_C117_contigs  89_A141_contigs  89_C156_contigs  8_C15_contigs   8_C89_contigs   90_A144_contigs  90_C158_contigs  91_A147_contigs  91_C159_contigs  92_A148_contigs  92_C160_contigs  93_A151_contigs  93_C161_contigs  94_A154_contigs  94_C164_contigs  95_A156_contigs  95_C167_contigs  96_A163_contigs  96_C168_contigs  9_C17_contigs   9_C91_contigs  
# contigs (>= 0 bp)          191             201              167              189              139              422              85               276              148              83              207              188              121              253              122              117             163              110              156              92              432              165              88              576              131             133              90               137              110              182              203              184              157              96              125              84               142             233             192              382              261              69              249              143             216              127             284              135             292              126              148             148              138             301              131             405              152             191              153              115             110              161             111              196             376              123             202              86              8437              142             126              170              82               96               13677             75               453              223              109              113              188             215              106             248              84              1290              153             194              183             102             140              171              163              140              139              93              201              150              182             142             238              132             239              111             166             390              267              416              107              219              186              212              123              126             191              98              70              92              112             96              129             118              163              132              114             140              145             95               132             266              139             119             126              129              168             175              117             361              170              200              153             241              92               207              91               156              126              115              129              174              234              251              97              5253              124              175              191              224              160              173              162              369              109              638              141              315              137              148              139              142              295              88               141             47              166              185              187              123              248              154              258              133              285              141              273              213              759              121              141             189            
# contigs (>= 1000 bp)       55              64               50               75               39               285              33               133              51               26              167              55               46               172              30               27              63               40               51               28              322              43               19              316              33              31               35               37               45               42               117              42               86               33              48               29               63              65              90               143              70               19              122              40              60               39              76               42              75               41               42              43               42              134              38              269              45              102              46               34              35               44              27               51              245              34              61               28              1870              39              39               37               32               24               2628              27               277              64               36               43               36              100              22              123              40              1160              44              89               54              41              40               82               56               60               45               39              65               64               38              34              154              40              50               43              35              274              119              282              39               134              50               139              56               52              76               32              27              36              23              34              29              33               47               47               27              40               34              38               34              160              38              41              41               38               43              57               37              271              54               105              38              127              35               83               25               52               69               28               68               93               63               147              24              1853              38               71               36               101              42               74               36               252              33               456              38               220              43               61               48               32               182              39               38              16              71               78               71               42               157              48               164              31               190              42               166              58               623              35               37              53             
# contigs (>= 5000 bp)       40              51               39               58               28               196              29               104              39               19              152              43               33               152              25               23              52               33               42               23              211              33               15              174              24              22               29               30               37               34               94               33               75               28              40               23               48              45              74               103              57               17              96               31              49               36              60               37              58               36               37              36               37              80               33              182              41              86               38               29              24               33              20               42              175              31              40               23              310               30              32               31               27               20               120               26               140              50               24               32               28              79               16              96               35              449               38              65               41              34              30               69               43               51               33               35              51               58               31              29              137              38              42               37              30              224              95               204              33               114              37               111              43               42              61               29              24              32              21              32              27              27               36               45               21              34               26              34               26              120              33              36              30               31               37              47               27              196              41               83               27              103              30               75               21               46               57               25               56               75               47               116              20              375               30               58               24               82               33               59               28               192              28               283              32               161              37               45               40               25               136              34               31              15              53               63               59               37               119              39               123              25               139              34               131              42               338              26               26              41             
# contigs (>= 10000 bp)      36              47               37               51               25               157              28               87               36               19              130              38               28               130              25               23              48               33               40               22              159              31               15              135              23              18               27               28               35               32               86               31               71               28              38               23               40              38              64               85               51               16              81               28              44               33              50               34              51               36               34              35               34              60               31              148              38              75               37               28              24               31              19               40              140              29              36               22              74                28              27               30               25               19               34                25               107              46               23               29               27              67               16              79               33              143               37              56               37              34              29               66               41               48               31               34              42               56               28              29              121              37              39               37              28              173              87               158              31               100              33               97               41               42              55               29              23              32              20              32              25              25               32               43               21              30               26              33               26              101              32              34              29               29               34              45               26              158              39               74               23              90               29               72               20               44               53               23               52               68               43               97               19              39                29               56               23               74               31               55               27               155              26               192              30               134              34               43               38               24               117              33               30              14              49               57               58               36               104              38               108              23               124              33               114              33               188              26               25              39             
# contigs (>= 25000 bp)      33              41               33               48               22               89               26               69               34               19              94               31               23               94               25               23              42               31               37               21              78               30               15              83               21              15               23               27               31               30               70               30               59               26              34               22               34              33              55               65               46               16              53               26              36               31              40               32              44               34               31              35               30              48               28              83               34              62               35               27              23               27              18               37              78               27              33               21              11                25              22               28               20               19               15                24               70               39               20               27               25              58               15              60               28              8                 35              48               33              31              28               53               39               42               29               30              39               49               27              26              90               32              34               33              26              98               65               78               27               68               30               70               37               36              48               24              21              30              18              29              24              24               31               37               21              27               25              31               25              81               31              31              27               26               34              39               26              87               35               60               22              66               26               57               20               40               42               21               42               55               37               73               17              0                 25               50               21               59               29               49               24               86               24               82               29               83               31               41               35               22               80               27               29              14              44               50               53               31               75               35               77               21               81               31               74               26               53               23               25              37             
# contigs (>= 50000 bp)      27              28               31               39               20               40               22               49               26               17              50               31               19               53               23               20              34               27               27               19              29               28               13              49               18              14               21               26               28               27               49               28               48               24              30               19               27              28              42               41               41               16              36               22              33               27              35               28              39               26               28              26               26              38               24              41               28              44               30               23              18               25              17               32              38               25              28               20              4                 24              22               24               17               18               4                 17               43               35               19               25               23              43               12              45               23              0                 32              37               28              29              26               39               31               36               24               25              35               37               24              23              54               27              31               29              20              40               39               38               24               48               26               51               28               28              39               23              18              27              18              24              18              20               28               34               18              20               20              28               20              44               29              27              22               17               25              28               21              36               29               46               21              41               21               43               17               31               33               19               33               42               31               44               15              0                 23               35               17               39               25               35               21               35               21               25               25               38               28               30               27               19               42               19               26              12              31               40               39               22               44               27               47               17               43               26               44               22               11               22               23              33             
Total length (>= 0 bp)       6615613         7023102          7018298          6570597          6934601          6912551          6788173          6939676          6947252          6897813         6545360          6976566          6503278          6548697          6323778          6358091         6730098          6405806          6706257          6406386         6460576          6708455          6406242         7989970          6269681         6761007          6774999          6914756          6773096          6683465          6770147          6686083          6807251          7083202         6773955          6555035          6680379         6708964         6674276          6685641          7133721          6203427         6130828          6488101         7129096          6407761         7150853          6408527         7132853          6196611          6407561         6320459          6408289         7264289          6408277         6993190          6410484         6963243          6794990          6667588         6250924          6553924         6251960          6987932         6657281          6897827         6377631          6531440         8631944           6399314         6709317          6452470          6244212          6397361          9644831           6258058          7619116          6742269          6933281          6932364          6760709         6680610          6358780         6676326          6425099         6314532           6736499         6678482          6616002         6867437         6757505          6864157          6780878          6874472          6779822          6874521         7124996          6867229          6834702         6876066         6674455          6874953         7133523          6872126         6423434         6858141          6777801          6928922          6773935          7045595          6807211          6860260          6478771          6869823         6957975          6872838         6265863         6872851         6692038         6873807         6386046         6786913          6748696          6622663          6505894         6786345          6376982         6620340          6375455         6669377          6735930         6643214         6688914          6785628          6975756         6787228          6720532         6718479          6942218          6782984          6540682         6778347          6369872          6788343          6437782          6786656          6601329          6621785          6601838          6783595          6915438          6669078          6401696         7291820           6912054          6707440          6275689          6705341          6675024          6706985          6274461          6677731          6857044          6636185          6867029          6644370          6814544          6706782          6965324          6250277          6695933          6638645          6683043         6243256         6706834          6956766          6709549          6593065          6699061          6492471          6699540          6300548          6689344          6140206          6695724          6614490          6165115          6855911          6719499         6818389        
Total length (>= 1000 bp)    6587902         6986354          6991951          6547758          6918792          6870943          6776197          6908315          6925996          6884825         6535058          6946428          6486943          6529597          6306868          6336672         6707440          6390519          6685969          6392296         6419932          6683347          6389701         7912189          6248541         6740072          6759218          6892249          6757339          6651199          6747587          6657098          6787654          7070387         6753347          6541468          6661830         6672264         6649914          6625830          7093942          6193939         6100553          6469122         7092348          6384943         7102787          6385883         7083150          6179317          6382551         6295062          6384010         7214271          6385142         6950325          6384811         6943284          6771740          6646746         6232171          6529807         6234419          6958411         6623163          6880199         6342760          6518535         6618258           6379056         6691080          6424371          6233041          6379658          6297397           6246329          7563815          6708312          6920140          6920733          6727380         6656767          6340577         6645562          6415192         6227916           6712584         6658636          6590416         6855859         6733679          6847428          6755989          6861023          6758941          6864012         7095485          6850591          6804375         6854119         6655273          6856008         7090861          6855221         6393079         6827450          6746158          6889372          6757457          7025256          6775587          6843401          6460570          6855970         6932381          6858838         6253803         6861550         6674867         6862687         6364642         6766612          6722589          6605437          6489630         6762179          6352366         6608543          6353231         6638537          6713040         6626386         6669745          6764007          6949463         6759045          6701592         6689935          6916433          6760427          6515839         6752173          6357047          6761473          6424994          6763414          6589882          6604582          6590198          6763356          6873385          6643342          6388039         6452977           6893184          6685083          6247024          6676767          6648984          6686363          6250578          6647823          6840959          6571279          6847930          6616822          6795666          6687608          6942980          6225085          6665579          6628531          6659020         6235944         6688341          6930939          6684371          6579456          6675983          6465614          6674884          6276509          6664459          6120115          6672082          6584298          6092053          6837834          6696109         6788236        
Total length (>= 5000 bp)    6553176         6960867          6965487          6506257          6893676          6651164          6767007          6838751          6907001          6864912         6492568          6918521          6460863          6473752          6298694          6329034         6677786          6378003          6665648          6383089         6141401          6660116          6382063         7616911          6230725         6719082          6748491          6875316          6740516          6632210          6686859          6636200          6763308          7058872         6739217          6522809          6622610         6614990         6611544          6520785          7064183          6190580         6033007          6450189         7066430          6380089         7065552          6378739         7045257          6171930          6371048         6285344          6372440         7086145          6373272         6725067          6378815         6899433          6754372          6637486         6206362          6503447         6219165          6938946         6441754          6871083         6300681          6507913         3103008           6360139         6676521          6405900          6223948          6371558          1671417           6242034          7274833          6675463          6892555          6895037          6710605         6603676          6328174         6572905          6406087         4268286           6701499         6599106          6560660         6842169         6710904          6814981          6732634          6839576          6736033          6852771         7061961          6839093          6784419         6842335         6611091          6849518         7072896          6837384         6382490         6667525          6692442          6695051          6746090          6964709          6747406          6765755          6434841          6828155         6903579          6847474         6245226         6852271         6672322         6856186         6359723         6754577          6699118          6601455          6477716         6750144          6340174         6597969          6340691         6539140          6703550         6618838         6645742          6749939          6937094         6738199          6680990         6496047          6890544          6696384          6493783         6694777          6346690          6740287          6416975          6750700          6563890          6599847          6564206          6709590          6839917          6565639          6378286         2754759           6875682          6652725          6221772          6629743          6629008          6652136          6232096          6490038          6828613          6144234          6834411          6457403          6781753          6652092          6931129          6209226          6544734          6616781          6643259         6233575         6647240          6902117          6655347          6567809          6581147          6448196          6575980          6264936          6534577          6105680          6582720          6551876          5398911          6810446          6673708         6761588        
Total length (>= 10000 bp)   6524727         6928174          6947735          6460798          6874155          6373737          6761466          6710253          6886820          6864912         6317723          6876666          6428924          6308075          6298694          6329034         6643490          6378003          6655034          6377967         5755727          6647229          6382063         7352370          6224907         6695240          6733364          6857564          6725388          6614458          6631777          6619492          6731253          7058872         6724089          6522809          6563706         6565262         6543181          6393713          7020299          6185038         5916908          6430932         7027315          6359506         6982854          6358079         6996585          6171930          6350614         6279740          6351857         6947541          6362463         6477560          6358172         6821201          6748980          6631985         6206362          6487732         6211511          6921194         6192463          6856310         6269520          6499440         1478470           6346475         6645434          6400093          6212100          6366306          1084174           6236748          7044145          6646821          6887515          6875342          6705565         6520695          6328174         6452395          6393718         2142598           6696416         6534235          6534912         6842169         6702641          6797972          6717728          6818717          6721127          6845788         7000412          6827748          6765624         6842335         6496084          6844307         7055721          6837384         6367115         6299442          6637089          6353155          6730960          6857890          6721607          6658875          6423233          6828155         6867672          6847474         6239011         6852271         6666844         6856186         6349244         6741949          6669765          6590645          6477716         6725010          6340174         6592758          6340691         6400021          6698467         6608362         6640029          6737391          6919816         6725651          6675950         6215857          6877827          6627529          6467714         6600083          6341280          6720485          6411453          6738152          6535855          6589207          6535428          6663273          6807587          6417751          6372753         495863            6868225          6637430          6215970          6573739          6612300          6621731          6222199          6219464          6813810          5461270          6819608          6244522          6761015          6638240          6917720          6203952          6399140          6611259          6636690         6228269         6618451          6865779          6649742          6562116          6473387          6441959          6460951          6250886          6427521          6100664          6465859          6488618          4351938          6810446          6668668         6748302        
