Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
1-C3_contigs	Pseudomonas aeruginosa (6)	19	1617	469	7	1603	7	0	0	0	99.31	0.37	14.29
10-C21_contigs	Pseudomonas aeruginosa (6)	19	1617	469	18	1577	21	1	0	0	97.51	1.62	4.17
10-C92_contigs	Pseudomonas aeruginosa (6)	19	1617	469	5	1590	21	1	0	0	99.80	1.90	4.17
11-C145_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1605	9	0	0	0	99.86	0.91	11.11
11-C22_contigs	Pseudomonas aeruginosa (6)	19	1617	469	32	1569	16	0	0	0	97.08	1.21	6.25
12-C147_contigs	Pseudomonas aeruginosa (6)	19	1617	469	5	1597	14	1	0	0	99.60	2.01	0.00
12-C31_contigs	Pseudomonas aeruginosa (6)	19	1617	469	10	1593	14	0	0	0	99.07	0.62	0.00
13-C149_contigs	Pseudomonas aeruginosa (6)	19	1617	469	5	1601	11	0	0	0	99.57	1.34	0.00
13-C32_contigs	Pseudomonas aeruginosa (6)	19	1617	469	8	1596	13	0	0	0	99.19	0.61	0.00
14-C33_contigs	Pseudomonas aeruginosa (6)	19	1617	469	8	1597	12	0	0	0	99.39	0.54	0.00
14-C94_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1606	8	0	0	0	99.86	0.70	0.00
15-C44_contigs	Pseudomonas aeruginosa (6)	19	1617	469	16	1592	9	0	0	0	97.87	1.06	0.00
15-C96_contigs	Pseudomonas aeruginosa (6)	19	1617	469	17	1590	10	0	0	0	98.58	1.01	10.00
16-C100_contigs	Pseudomonas aeruginosa (6)	19	1617	469	19	1587	10	1	0	0	97.46	0.85	0.00
16-C45_contigs	Pseudomonas aeruginosa (6)	19	1617	469	16	1592	9	0	0	0	97.87	1.06	0.00
17-C102_contigs	Pseudomonas aeruginosa (6)	19	1617	469	3	1608	6	0	0	0	99.86	0.56	0.00
17-C64_contigs	Pseudomonas aeruginosa (6)	19	1617	469	18	1594	5	0	0	0	98.31	0.49	0.00
18-C119_contigs	Pseudomonas aeruginosa (6)	19	1617	469	29	1563	24	1	0	0	96.79	1.60	0.00
