#genome_asm_accession	#genome_name	#protein_accession	#protein_name	#pathogen_association	#num_hit_genera	#hit_genera_list
GCF_000006765.1	Pseudomonas aeruginosa PAO1	NP_249911.1	hypothetical protein PA1220 [Pseudomonas aeruginosa PAO1]	pathogen	3	Burkholderia;Pseudomonas;Serratia
GCF_000014625.1	Pseudomonas aeruginosa UCBPP-PA14	WP_003111331.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_000014625.1	Pseudomonas aeruginosa UCBPP-PA14	WP_003137137.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	4	Burkholderia;Photorhabdus;Pseudomonas;Yersinia
GCF_000017205.1	Pseudomonas aeruginosa PA7	WP_012076638.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	1	Burkholderia
GCF_000026645.1	Pseudomonas aeruginosa LESB58	WP_012614000.1	DUF1828 domain-containing protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_000226155.1	Pseudomonas aeruginosa M18	WP_014603116.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_000271985.2	Pseudomonas aeruginosa SJTD-1	WP_060852920.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_000284555.1	Pseudomonas aeruginosa NCGM2.S1	WP_003087135.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_000359505.1	Pseudomonas aeruginosa B136-33	WP_003111331.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_000473745.2	Pseudomonas aeruginosa VRFPA04	WP_003100688.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Providencia
GCF_000473745.2	Pseudomonas aeruginosa VRFPA04	WP_003133668.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	1	Burkholderia
GCF_000473745.2	Pseudomonas aeruginosa VRFPA04	WP_009877656.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Paraburkholderia
GCF_000473745.2	Pseudomonas aeruginosa VRFPA04	WP_015503905.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	1	Burkholderia
GCF_000473745.2	Pseudomonas aeruginosa VRFPA04	WP_015649664.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	5	Burkholderia;Haemophilus;Mannheimia;Neisseria;Pantoea
GCF_000473745.2	Pseudomonas aeruginosa VRFPA04	WP_031294923.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	1	Burkholderia
GCF_000496455.2	Pseudomonas aeruginosa DHS01	WP_012614000.1	DUF1828 domain-containing protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_000496455.2	Pseudomonas aeruginosa DHS01	WP_023098761.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_000496455.2	Pseudomonas aeruginosa DHS01	WP_023464354.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Ralstonia
GCF_000496455.2	Pseudomonas aeruginosa DHS01	WP_031299072.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_000504045.1	Pseudomonas aeruginosa MTB-1	WP_014603116.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_000504045.1	Pseudomonas aeruginosa MTB-1	WP_041025692.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	3	Burkholderia;Cronobacter;Pseudomonas
GCF_000508765.1	Pseudomonas aeruginosa LES431	WP_003097713.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	3	Burkholderia;Paraburkholderia;Pseudomonas
GCF_000508765.1	Pseudomonas aeruginosa LES431	WP_003111133.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_000508765.1	Pseudomonas aeruginosa LES431	WP_012614000.1	DUF1828 domain-containing protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_000510305.1	Pseudomonas aeruginosa SCV20265	WP_003097713.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Paraburkholderia
GCF_000510305.1	Pseudomonas aeruginosa SCV20265	WP_003159810.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Serratia
GCF_000510305.1	Pseudomonas aeruginosa SCV20265	WP_021204956.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	1	Burkholderia
GCF_000524595.1	Pseudomonas aeruginosa YL84	WP_003097713.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	3	Burkholderia;Paraburkholderia;Pseudomonas
GCF_000568855.2	Pseudomonas aeruginosa PAK	WP_003097713.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Paraburkholderia
GCF_000568855.2	Pseudomonas aeruginosa PAK	WP_016253705.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Serratia
GCF_000829255.1	Pseudomonas aeruginosa	WP_003087135.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_000829255.1	Pseudomonas aeruginosa	WP_023098761.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_000829255.1	Pseudomonas aeruginosa	WP_031630419.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_000829255.1	Pseudomonas aeruginosa	WP_033983778.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	3	Burkholderia;Cronobacter;Pseudomonas
GCF_000829275.1	Pseudomonas aeruginosa	WP_003087135.1	MULTISPECIES: hypothetical protein [Pseudomonas]	pathogen	2	Burkholderia;Pseudomonas
GCF_000829275.1	Pseudomonas aeruginosa	WP_023098761.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_000829275.1	Pseudomonas aeruginosa	WP_031630419.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	2	Burkholderia;Pseudomonas
GCF_000829275.1	Pseudomonas aeruginosa	WP_033983778.1	hypothetical protein [Pseudomonas aeruginosa]	pathogen	3	Burkholderia;Cronobacter;Pseudomonas
